,DATE,SERIES,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CLOSE,VWAP,VOLUME,VALUE,NO OF TRADES,DELIVERY QTY,DELIVERY %,SYMBOL
43,2026-06-30 18:30:00,EQ,1031.0,1049.9,1025.5,1026.9,1043.5,1047.4,1039.96,6295315,6546852930.3,163396,3111030,49.42,SBIN
44,2026-06-29 18:30:00,EQ,1040.0,1044.0,1025.05,1036.1,1029.9,1026.9,1034.09,11161643,11542198969.75,180911,4018462,36.0,SBIN
45,2026-06-28 18:30:00,EQ,1044.45,1046.4,1030.85,1045.4,1038.95,1036.1,1037.33,16818246,17446074513.35,261264,11810287,70.22,SBIN
46,2026-06-24 18:30:00,EQ,1040.0,1055.4,1038.55,1034.6,1045.2,1045.4,1048.87,16002360,16784421896.9,268790,8608658,53.8,SBIN
47,2026-06-23 18:30:00,EQ,1024.0,1044.5,1020.5,1024.2,1034.5,1034.6,1035.57,11724076,12141107967.1,161067,6130453,52.29,SBIN
48,2026-06-22 18:30:00,EQ,1041.0,1045.5,1022.35,1040.75,1023.6,1024.2,1030.97,10411004,10733439766.0,162889,4751867,45.64,SBIN
49,2026-06-21 18:30:00,EQ,1038.0,1043.0,1033.6,1035.1,1041.0,1040.75,1038.0,6209440,6445380948.95,139617,3514102,56.59,SBIN
50,2026-06-18 18:30:00,EQ,1042.0,1042.0,1029.3,1042.7,1036.0,1035.1,1034.62,9099878,9414899536.85,116893,5638770,61.97,SBIN
51,2026-06-17 18:30:00,EQ,1027.9,1045.7,1024.45,1026.5,1042.5,1042.7,1038.39,11048009,11472186219.45,181508,4757877,43.07,SBIN
52,2026-06-16 18:30:00,EQ,1017.0,1028.1,1013.45,1015.3,1026.5,1026.5,1021.04,8190062,8362376221.65,149867,4627035,56.5,SBIN
53,2026-06-15 18:30:00,EQ,1023.8,1026.55,1007.4,1020.85,1016.05,1015.3,1014.02,9693677,9829555551.65,190586,4962421,51.19,SBIN
54,2026-06-14 18:30:00,EQ,1034.0,1034.0,1018.5,1017.15,1021.0,1020.85,1025.74,12463437,12784190020.0,230802,7322784,58.75,SBIN
55,2026-06-11 18:30:00,EQ,1018.0,1018.7,1004.35,1000.7,1016.4,1017.15,1012.08,11081119,11215018376.1,193711,5804492,52.38,SBIN
56,2026-06-10 18:30:00,EQ,998.1,1009.4,993.0,1003.25,1001.1,1000.7,1003.38,13773978,13820494684.5,195579,8102967,58.83,SBIN
57,2026-06-09 18:30:00,EQ,1002.7,1012.4,999.5,1002.7,1000.85,1003.25,1006.59,19122317,19248343087.6,215158,13087660,68.44,SBIN
58,2026-06-08 18:30:00,EQ,985.0,1009.0,983.0,981.95,1004.1,1002.7,998.02,22142480,22098642356.05,270891,12680438,57.27,SBIN
59,2026-06-07 18:30:00,EQ,966.0,988.65,965.15,977.7,980.0,981.95,981.33,12895416,12654605651.45,452384,6656604,51.62,SBIN
60,2026-06-04 18:30:00,EQ,980.0,992.6,970.6,979.25,977.0,977.7,981.76,20955539,20573351918.85,288991,9146984,43.65,SBIN
61,2026-06-03 18:30:00,EQ,969.9,985.8,961.1,970.45,979.25,979.25,977.95,18875883,18459645864.0,341904,9702135,51.4,SBIN
62,2026-06-02 18:30:00,EQ,953.75,974.0,937.2,956.65,971.5,970.45,948.57,27947005,26509598648.7,251452,14338937,51.31,SBIN
63,2026-06-01 18:30:00,EQ,950.95,961.3,939.9,954.1,960.0,956.65,951.21,15911760,15135370050.05,254830,6762630,42.5,SBIN
64,2026-05-31 18:30:00,EQ,966.25,970.25,950.1,964.4,954.5,954.1,959.25,11118975,10665883396.95,170313,5101558,45.88,SBIN
65,2026-05-28 18:30:00,EQ,967.8,973.7,960.3,967.8,965.3,964.4,965.5,22292535,21523352057.1,258939,15418901,69.17,SBIN
66,2026-05-26 18:30:00,EQ,969.8,975.9,966.6,968.5,967.3,967.8,969.93,8111259,7867378301.3,187071,3174652,39.14,SBIN
67,2026-05-25 18:30:00,EQ,969.9,978.8,962.1,969.6,969.8,968.5,970.57,16269800,15790948718.1,171204,8470161,52.06,SBIN
68,2026-05-24 18:30:00,EQ,959.9,972.5,957.5,949.2,972.3,969.6,963.32,10934747,10533628661.4,182636,6186621,56.58,SBIN
69,2026-05-21 18:30:00,EQ,950.9,958.6,947.7,950.9,949.6,949.2,952.41,7807192,7435661813.4,142000,4300251,55.08,SBIN
70,2026-05-20 18:30:00,EQ,957.0,960.9,946.5,950.9,950.0,950.9,952.38,11756520,11196637968.6,175233,4725570,40.2,SBIN
71,2026-05-19 18:30:00,EQ,941.1,955.0,935.0,948.8,950.0,950.9,946.2,11928460,11286767833.5,191643,5643465,47.31,SBIN
72,2026-05-18 18:30:00,EQ,942.0,956.6,939.5,939.4,946.9,948.8,947.88,17280869,16380227268.5,749834,8694335,50.31,SBIN
73,2026-05-17 18:30:00,EQ,952.0,954.9,933.9,963.2,938.8,939.4,939.86,16554877,15559279361.8,608579,9199675,55.57,SBIN
74,2026-05-14 18:30:00,EQ,971.2,972.5,957.0,979.9,961.6,963.2,966.7,26972493,26074390324.8,298397,16782316,62.22,SBIN
75,2026-05-13 18:30:00,EQ,973.5,987.0,963.6,970.1,982.3,979.9,977.65,16487142,16118577818.2,260699,5898688,35.78,SBIN
76,2026-05-12 18:30:00,EQ,978.0,981.2,961.2,974.6,971.0,970.1,972.53,17584580,17101594137.4,313800,6724500,38.24,SBIN
77,2026-05-11 18:30:00,EQ,976.9,981.4,962.4,973.6,976.1,974.6,972.2,25787092,25070126165.5,443183,11136191,43.19,SBIN
78,2026-05-10 18:30:00,EQ,1007.0,1007.0,971.1,1019.3,974.9,973.6,980.59,46927396,46016755311.2,1016193,28316556,60.34,SBIN
